take_off_distance,jump_status
47.0,1
135.0,1
47.0,1
47.0,1
199.0,1
111.0,1
47.0,1
47.0,1
47.0,1
127.0,1
119.0,1
135.0,1
255.0,0
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,1
223.0,0
231.0,1
231.0,1
231.0,1
231.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,0
239.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
303.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
319.0,0
239.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
95.0,1
311.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,0
231.0,1
295.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,0
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
119.0,1
311.0,0
47.0,1
-81.0,1
-81.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
-81.0,1
63.0,1
335.0,0
-81.0,1
-81.0,1
231.0,1
231.0,0
-81.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
231.0,1
-81.0,1
231.0,1
231.0,1
231.0,1
231.0,1
231.0,1
-81.0,1
-81.0,1
231.0,1
-81.0,1
-81.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
231.0,0
231.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
-81.0,1
231.0,1
231.0,1
-81.0,1
-81.0,1
231.0,0
-81.0,1
-81.0,1
335.0,0
-81.0,1
-81.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
231.0,1
-81.0,1
-81.0,1
-81.0,1
-81.0,1
231.0,1
231.0,1
-81.0,1
-81.0,1
231.0,1
-81.0,1
231.0,0
231.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
-81.0,1
231.0,1
-81.0,1
-81.0,1
-81.0,1
231.0,1
231.0,1
231.0,1
-81.0,1
231.0,1
231.0,1
231.0,1
-81.0,1
-81.0,1
231.0,1
-81.0,1
231.0,1
-81.0,1
-81.0,1
-81.0,1
-81.0,1
-81.0,1
-81.0,1
-81.0,1
231.0,0
47.0,1
47.0,1
95.0,1
151.0,1
255.0,0
47.0,1
255.0,0
151.0,1
159.0,1
127.0,1
159.0,1
119.0,1
175.0,1
143.0,1
199.0,1
231.0,1
191.0,1
199.0,1
47.0,1
159.0,1
111.0,1
215.0,1
199.0,1
183.0,1
183.0,1
207.0,1
183.0,1
215.0,1
191.0,1
175.0,1
159.0,1
47.0,1
